,0
0,Rebecca Pan
1,Jacky Cheung
2,To-Hoi Kong
3,Leslie Cheung
4,Charlie Yeung
5,Tony Chiu-Wai Leung
6,Brigitte Lin
7,Chang Chen
8,Takeshi Kaneshiro
9,Gong Li
10,Faye Wong
11,Siu Ping-Lam
12,Man-Lei Chan
13,Lee-Na Kwan
14,Carina Lau
15,Maggie Cheung
16,Andy Lau
