,0
0,Tony Chiu-Wai Leung
1,Leslie Cheung
2,Jacky Cheung
3,To-Hoi Kong
4,Chang Chen
5,Charlie Yeung
6,Maggie Cheung
7,Carina Lau
8,Siu Ping-Lam
