,0
0,Charlie Yeung
1,Faye Wong
2,Ting Yip Ng
3,To-Hoi Kong
4,Gong Li
5,Man-Lei Chan
6,Tony Chiu-Wai Leung
7,Lee-Na Kwan
8,Rebecca Pan
9,Jacky Cheung
10,Ziyi Zhang
11,Leslie Cheung
12,Siu Ping-Lam
13,Takeshi Kaneshiro
14,Maggie Cheung
15,Brigitte Lin
16,Carina Lau
17,Chang Chen
18,Andy Lau
19,Shun Lau
